event_title,organisation,date,location,match_nr,fighter1_name,fighter2_name,fighter1_result,fighter2_result,win_method,win_details,round,time
UFC 235 - Jones vs. Smith,Ultimate Fighting Championship (UFC),"Mar 2, 2019","T-Mobile Arena, Las Vegas, Nevada, United States",9,Weili Zhang,Tecia Torres,win,loss,Decision,Unanimous,3,05:00
UFC 235 - Jones vs. Smith,Ultimate Fighting Championship (UFC),"Mar 2, 2019","T-Mobile Arena, Las Vegas, Nevada, United States",7,Zabit Magomedsharipov,Jeremy Stephens,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 145 - Blachowicz vs. Santos,Ultimate Fighting Championship (UFC),"Feb 23, 2019","O2 Arena, Prague, Czech Republic",8,Magomed Ankalaev,Klidson Abreu,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 145 - Blachowicz vs. Santos,Ultimate Fighting Championship (UFC),"Feb 23, 2019","O2 Arena, Prague, Czech Republic",2,Diego Ferreira,Rustam Khabilov,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 145 - Blachowicz vs. Santos,Ultimate Fighting Championship (UFC),"Feb 23, 2019","O2 Arena, Prague, Czech Republic",1,Damir Ismagulov,Joel Alvarez,win,loss,Decision,Unanimous,3,05:00
UFC on ESPN 1 - Ngannou vs. Velasquez,Ultimate Fighting Championship (UFC),"Feb 17, 2019","Talking Stick Resort Arena, Phoenix, Arizona, United States",6,Aljamain Sterling,Jimmie Rivera,win,loss,Decision,Unanimous,3,05:00
UFC 234 - Adesanya vs. Silva,Ultimate Fighting Championship (UFC),"Feb 9, 2019","Rod Laver Arena, Melbourne, Victoria, Australia",11,Israel Adesanya,Anderson Silva,win,loss,Decision,Unanimous,3,5:00
UFC Fight Night 144 - Assuncao vs. Moraes 2,Ultimate Fighting Championship (UFC),"Feb 2, 2019","Centro de Formacao Olimpica do Nordeste, Fortaleza, Ceara, Brazil",1,Rogerio Bontorin,Magomed Bibulatov,win,loss,Decision,Split,3,05:00
UFC Fight Night 143 - Cejudo vs. Dillashaw,Ultimate Fighting Championship (UFC),"Jan 19, 2019","Barclays Center, Brooklyn, New York, United States",13,Henry Cejudo,T.J. Dillashaw,win,loss,TKO,Punches,1,0:32
UFC Fight Night 143 - Cejudo vs. Dillashaw,Ultimate Fighting Championship (UFC),"Jan 19, 2019","Barclays Center, Brooklyn, New York, United States",11,Gregor Gillespie,Yancy Medeiros,win,loss,TKO,Punches,2,04:59
UFC Fight Night 143 - Cejudo vs. Dillashaw,Ultimate Fighting Championship (UFC),"Jan 19, 2019","Barclays Center, Brooklyn, New York, United States",4,Cory Sandhagen,Mario Bautista,win,loss,Submission,Armbar,1,03:31
UFC Fight Night 143 - Cejudo vs. Dillashaw,Ultimate Fighting Championship (UFC),"Jan 19, 2019","Barclays Center, Brooklyn, New York, United States",2,Geoff Neal,Belal Muhammad,win,loss,Decision,Unanimous,3,05:00
UFC 232 - Jones vs. Gustafsson 2,Ultimate Fighting Championship (UFC),"Dec 29, 2018","The Forum, Inglewood, California, United States",13,Jon Jones,Alexander Gustafsson,win,loss,KO,Punches,3,2:02
UFC 232 - Jones vs. Gustafsson 2,Ultimate Fighting Championship (UFC),"Dec 29, 2018","The Forum, Inglewood, California, United States",12,Amanda Nunes,Cristiane Justino,win,loss,KO,Punch,1,00:51
UFC 232 - Jones vs. Gustafsson 2,Ultimate Fighting Championship (UFC),"Dec 29, 2018","The Forum, Inglewood, California, United States",9,Alexander Volkanovski,Chad Mendes,win,loss,TKO,Punches,2,04:14
UFC Fight Night 142 - Dos Santos vs. Tuivasa,Ultimate Fighting Championship (UFC),"Dec 1, 2018","Adelaide Entertainment Centre, Adelaide, South Australia, Australia",6,Alexey Kunchenko,Yushin Okami,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 142 - Dos Santos vs. Tuivasa,Ultimate Fighting Championship (UFC),"Dec 1, 2018","Adelaide Entertainment Centre, Adelaide, South Australia, Australia",1,Damir Ismagulov,Alex Gorgees,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 141 - Blaydes vs. Ngannou 2,Ultimate Fighting Championship (UFC),"Nov 24, 2018","Cadillac Arena, Beijing, China",11,Alistair Overeem,Sergei Pavlovich,win,loss,TKO,Punches,1,04:21
UFC Fight Night 141 - Blaydes vs. Ngannou 2,Ultimate Fighting Championship (UFC),"Nov 24, 2018","Cadillac Arena, Beijing, China",5,Weili Zhang,Jessica Aguilar,win,loss,Submission,Armbar,1,03:41
UFC Fight Night 139 - Korean Zombie vs. Rodriguez,Ultimate Fighting Championship (UFC),"Nov 10, 2018","Pepsi Center, Denver, Colorado, United States",8,Maycee Barber,Hannah Cifers,win,loss,TKO,Elbows and Punches,2,02:01
UFC 230 - Cormier vs. Lewis,Ultimate Fighting Championship (UFC),"Nov 3, 2018","Madison Square Garden, New York, New York, United States",12,Daniel Cormier,Derrick Lewis,win,loss,Submission,Rear-Naked Choke,2,2:14
UFC 230 - Cormier vs. Lewis,Ultimate Fighting Championship (UFC),"Nov 3, 2018","Madison Square Garden, New York, New York, United States",8,Israel Adesanya,Derek Brunson,win,loss,TKO,Knees and Punches,1,04:51
UFC 229 - Nurmagomedov vs. McGregor,Ultimate Fighting Championship (UFC),"Oct 6, 2018","T-Mobile Arena, Las Vegas, Nevada, United States",12,Khabib Nurmagomedov,Conor McGregor,win,loss,Submission,Neck Crank,4,3:03
UFC Fight Night 136 - Hunt vs. Oleynik,Ultimate Fighting Championship (UFC),"Sep 15, 2018","Olimpiysky Arena, Moscow, Russia",9,Alexey Kunchenko,Thiago Alves,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 136 - Hunt vs. Oleynik,Ultimate Fighting Championship (UFC),"Sep 15, 2018","Olimpiysky Arena, Moscow, Russia",6,Rustam Khabilov,Kajan Johnson,win,loss,Decision,Split,3,05:00
UFC Fight Night 136 - Hunt vs. Oleynik,Ultimate Fighting Championship (UFC),"Sep 15, 2018","Olimpiysky Arena, Moscow, Russia",4,Magomed Ankalaev,Marcin Prachnio,win,loss,TKO,Head Kick and Punches,1,03:09
UFC 228 - Woodley vs. Till,Ultimate Fighting Championship (UFC),"Sep 8, 2018","American Airlines Center, Dallas, Texas, United States",11,Zabit Magomedsharipov,Brandon Michael Davis,win,loss,Submission,Kneebar,2,04:36
UFC 228 - Woodley vs. Till,Ultimate Fighting Championship (UFC),"Sep 8, 2018","American Airlines Center, Dallas, Texas, United States",8,Tatiana Suarez,Carla Esparza,win,loss,TKO,Punches,3,04:33
UFC 228 - Woodley vs. Till,Ultimate Fighting Championship (UFC),"Sep 8, 2018","American Airlines Center, Dallas, Texas, United States",7,Aljamain Sterling,Cody Stamann,win,loss,Submission,Kneebar,2,03:42
UFC 227 - Dillashaw vs. Garbrandt 2,Ultimate Fighting Championship (UFC),"Aug 4, 2018","Staples Center, Los Angeles, California, United States",11,Henry Cejudo,Demetrious Johnson,win,loss,Decision,Split,5,05:00
